id,address,date,price,bedrooms,bathrooms,carparks
405006830,4 / 88 MARKS POINT ROAD MARKS POINT NSW 2280,1990-12-03,121000

405375341,3 BELVEDERE DRIVE LISMORE NSW 2480,1991-08-08,35000,,,5
405374528,227 BALLINA STREET LISMORE NSW 2480,1991-08-09,95500,2,,
405165109,11 / 20 JOUBERT STREET HUNTERS HILL NSW 2110,1991-12-04,157000,2,1,5
405375341,3 BELVEDERE DRIVE LISMORE NSW 2480,1991-08-08,35000,,1,

404667344,36 LAKE STREET FORSTER NSW 2428,1992-02-03,70000,,,
403891571,139 WEBSTER ROAD LURNEA NSW 2170,1967-09-19,8630,,,
405007127,65 ROBERT STREET WICKHAM NSW 2293,1990-06-08,71000,,,
405007279,14 KILGOUR AVENUE MEREWETHER NSW 2291,1990-03-05,0,,,
405004333,180 FISHING POINT ROAD FISHING POINT NSW 2283,1990-02-22,175000,,,
405004408,13 KURNELL CLOSE COORANBONG NSW 2265,1990-09-03,165000,,,
405004382,16 COLTON CRESCENT LAKELANDS NSW 2282,1990-06-04,59950,,,
405004379,5 COLBY CLOSE WARNERS BAY NSW 2282,1990-06-21,44500,,,
405004424,11 RIESLING STREET MUSWELLBROOK NSW 2333,1990-08-21,71000,,,
405004387,9 CRESTWOOD PLACE WARNERS BAY NSW 2282,1990-11-06,0,,,
405004518,14 IMPERIAL CLOSE FLORAVILLE NSW 2280,1990-02-10,82000,,,
405004558,17 NORDS WHARF ROAD NORDS WHARF NSW 2281,1990-05-31,0,,,
405004589,23 JANICE STREET WARNERS BAY NSW 2282,1990-07-30,0,,,
405226797,13 MERRIGAN STREET KYOGLE NSW 2474,1991-11-11,78000,,,
405229100,3 BELVEDERE DRIVE LISMORE NSW 2480,1991-08-08,35000,,,
