id,address,date,price,bedrooms,bathrooms,carparks
404667344,36 LAKE STREET FORSTER NSW 2428,1992-02-03,70000,,,
403891571,139 WEBSTER ROAD LURNEA NSW 2170,1967-09-19,8630,,,
405006830,4 / 88 MARKS POINT ROAD MARKS POINT NSW 2280,1990-12-03,121000,,,
405007127,65 ROBERT STREET WICKHAM NSW 2293,1990-06-08,71000,,,
405007101,54 MOATE STREET GEORGETOWN NSW 2298,1990-01-12,0,,,
405004377,52 SKYE POINT ROAD COAL POINT NSW 2283,1990-02-07,245000,,,
405007072,61 HELEN STREET MEREWETHER NSW 2291,1990-06-22,122200,,,
405007103,5 / 22 MOATE STREET GEORGETOWN NSW 2298,1990-04-23,76000,,,
405004202,6 LORRON CLOSE COAL POINT NSW 2283,2017-04-27,155000,,,
405007279,14 KILGOUR AVENUE MEREWETHER NSW 2291,1990-03-05,0,,,
405004333,180 FISHING POINT ROAD FISHING POINT NSW 2283,1990-02-22,175000,,,
405004408,13 KURNELL CLOSE COORANBONG NSW 2265,1990-09-03,165000,,,
405004382,16 COLTON CRESCENT LAKELANDS NSW 2282,1990-06-04,59950,,,
405004379,5 COLBY CLOSE WARNERS BAY NSW 2282,1990-06-21,44500,,,
405004424,11 RIESLING STREET MUSWELLBROOK NSW 2333,1990-08-21,71000,,,
405004387,9 CRESTWOOD PLACE WARNERS BAY NSW 2282,1990-11-06,0,,,
405004518,14 IMPERIAL CLOSE FLORAVILLE NSW 2280,1990-02-10,82000,,,
405004558,17 NORDS WHARF ROAD NORDS WHARF NSW 2281,1990-05-31,0,,,
405004589,23 JANICE STREET WARNERS BAY NSW 2282,1990-07-30,0,,,
405004929,31 RAWSON STREET SWANSEA NSW 2281,1990-03-05,78000,,,
405004484,38 ALDWICK CLOSE TARRO NSW 2322,1990-04-24,0,,,
405004950,26 MORRIS STREET ELEEBANA NSW 2282,1990-09-17,190000,,,
405005105,6 FISHING POINT ROAD RATHMINES NSW 2283,1990-04-09,295000,,,
405004713,11 SILKY OAK DRIVE CAVES BEACH NSW 2281,1990-09-10,63500,,,
405005073,11 HICKORY ROAD GATESHEAD NSW 2290,1990-02-28,78500,,,
405005252,10 TRANSFIELD AVENUE EDGEWORTH NSW 2285,1990-09-28,39850,,,
405005060,57 SEDGWICK AVENUE EDGEWORTH NSW 2285,1990-03-21,95000,,,
405005323,11 LAKE CRESCENT TERALBA NSW 2284,1990-09-01,83000,,,
403840053,7 MOFFATT DRIVE LALOR PARK NSW 2147,1989-04-10,6200,,,
405004619,88 SHIRAZ STREET MUSWELLBROOK NSW 2333,1990-08-24,91000,,,
403068088,4 ANTILL ROAD MOUNT PRITCHARD NSW 2170,1960-07-22,6490,,,
403308510,17 BYRNE STREET ASHCROFT NSW 2168,1962-07-13,8120,,,
403343973,20 GERATHY STREET GOULBURN NSW 2580,1970-01-07,9060,,,
403350648,136 ROBERT STREET SOUTH TAMWORTH NSW 2340,1961-11-01,7130,,,
403359173,58 COOK STREET MUSWELLBROOK NSW 2333,1900-01-01,175000,,,
402926192,41 ROWLEY STREET SEVEN HILLS NSW 2147,1958-03-29,5850,3,1,5
403310932,25 SEAGRASS CIRCUIT CORLETTE NSW 2315,1900-01-01,460000,,,
403302524,136 WASHPOOL ROAD BOORAL NSW 2425,1976-09-29,17500,,,
402764185,16 BOOMERANG STREET COONABARABRAN NSW 2357,1977-02-09,9150,,,
402764186,24 CAMP STREET COONABARABRAN NSW 2357,1972-06-21,12700,,,
405166329,3 / 24 WOOD STREET MANLY NSW 2095,1991-08-08,270000,,,
405166219,7 / 16 LONGUEVILLE ROAD LANE COVE NSW 2066,1991-10-29,128000,,,
405166192,26 / 105 LONGUEVILLE ROAD LANE COVE NSW 2066,1991-05-13,155000,,,
405166851,48 / 183 ST JOHNS AVENUE GORDON NSW 2072,1991-11-05,410000,,,
405166514,27 / 183 ST JOHNS AVENUE GORDON NSW 2072,1991-07-15,455000,,,
405165789,41 TERRACE ROAD KILLARA NSW 2071,1991-09-18,650000,,,
405166565,3 / 524 MOWBRAY ROAD LANE COVE NSW 2066,1991-01-21,125000,,,
405166489,6 DOYLE PLACE GORDON NSW 2072,1991-03-11,380000,,,
405166686,16 / 4 HILLTOP CRESCENT FAIRLIGHT NSW 2094,1991-10-21,367000,,,
405166687,27 / 4 HILLTOP CRESCENT FAIRLIGHT NSW 2094,1991-05-01,305000,,,
405166568,6 / 520 MOWBRAY ROAD LANE COVE NSW 2066,1991-11-08,137000,,,
405166742,16 PRINCE EDWARD STREET GLADESVILLE NSW 2111,1991-05-01,193300,,,
405165281,32 JACKSON STREET BALGOWLAH NSW 2093,1991-08-14,218700,,,
405166563,7 / 530 MOWBRAY ROAD LANE COVE NSW 2066,1991-10-08,150000,,,
405164772,39 / 10 BATEMANS ROAD GLADESVILLE NSW 2111,1991-11-11,287000,,,
405164744,64 YARRARA ROAD PENNANT HILLS NSW 2120,1991-05-14,255000,,,
405164708,27 / 74 NORTH STEYNE MANLY NSW 2095,1991-09-05,615000,,,
405164913,22 RYDE ROAD GORDON NSW 2072,1991-04-22,200000,,,
405164748,10 / 18 PALING STREET THORNLEIGH NSW 2120,1991-06-04,185000,,,
