evidence_id,sale_date,settlement_price,beds,baths,parking,full_street_address

52827404,18/05/2015,495000,,,2,9b willow crescent campbelltown sa 5074
52827404,18/05/2015,495000,,2,,9b willow crescent campbelltown sa 5074
52827404,18/05/2015,495000,3,,,9b willow crescent campbelltown sa 5074
52827404,18/05/2015,495000,,,,9b willow crescent campbelltown sa 5074


52827404,18/05/2015,495000,3,2,2,9b willow crescent campbelltown sa 5074
52471475,18/05/2015,495000,3,2,2,9b willow crescent campbelltown sa 5074
51990950,30/09/2005,305000,2,1,3,10 forrest street victor harbor sa 5211
7279565,30/09/2005,305000,2,1,2,10 forrest street victor harbour nth sa 5211
18340283,03/04/2009,286000,2,1,2,10 forrest street victor harbor sa 5211
51054452,01/04/1996,26000,3,1,2,39 copernicus road christie downs sa 5164
7517240,29/09/2005,172000,3,1,2,39 copernicus road christie downs sa 5164
7517232,01/04/1996,26000,3,1,2,39 copernicus road christie downs sa 5164
52353452,12/03/2013,450000,3,2,1,16 dryden road black forest sa 5035
52265821,16/12/2010,600000,3,1,1,24 cavendish avenue devon park sa 5008
46382444,11/08/2014,455000,3,1,1,24 cavendish avenue devon park sa 5008
52313510,26/03/2012,415000,3,1,1,24 cavendish avenue devon park sa 5008
35354298,26/03/2012,415000,3,1,1,24 cavendish avenue devon park sa 5008
24429650,14/01/2011,395000,3,1,6,2 mcleod court greenwith sa 5125
46441064,14/08/2014,395000,3,1,2,2 mcleod court greenwith sa 5125
52436230,06/03/2015,342500,3,2,2,11 citrus street direk sa 5110
48332310,06/03/2015,342500,3,2,2,11 citrus street direk sa 5110
52277028,05/04/2011,365000,3,3,1,11 / 1 st kitts place mawson lakes sa 5095
52093739,02/07/2007,272500,3,2,2,10c barber street willaston sa 5118
52093739,02/07/2007,272500,3,2,2,10c barber street willaston sa 5118



52353458,12/03/2011,4000,3,2,1,16 dryden road black forest sa 5035







52353488,12/08/2016,40000,3,2,1,16 dryden road black forest sa 5035
52353408,12/02/2017,1000000,3,2,1,16 dryden road black forest sa 5035
52353438,12/05/2019,4000000,3,2,1,16 dryden road black forest sa 5035
